domain,visit_count,last_visit_time
9anime,290,2026-04-30 04:46:45
claude,242,2026-04-30 12:52:55
google,88,2026-04-30 12:14:59
boringegotistical,85,2026-04-29 08:44:33
mangafire,55,2026-04-29 08:44:50
bioaqua,31,2026-04-30 06:28:02
w7,17,2026-04-28 18:34:19
b7510,13,2026-04-28 18:12:57
docs,10,2026-04-30 07:09:33
easypaisa,7,2026-04-29 05:15:43
