"Source Name",Date/Time,"Device Make","Device Model","Device ID","Data Source"
system,"2009-11-24 01:28:31 UTC",,ROOT_HUB,"4&28fef180&0",jo-2009-11-24.E01
system,"2009-11-24 01:28:31 UTC",,ROOT_HUB,"4&389651e0&0",jo-2009-11-24.E01
system,"2009-11-24 01:28:31 UTC",,ROOT_HUB,"4&5e88044&0",jo-2009-11-24.E01
system,"2009-11-24 01:28:31 UTC",,ROOT_HUB20,"4&36326108&0",jo-2009-11-24.E01
system,"2009-11-24 22:01:49 UTC",,"Vid_0000&Pid_7777",2B9ECCFF,jo-2009-11-24.E01
system,"2009-11-24 01:28:37 UTC","Logitech, Inc.","Optical Wheel Mouse","5&2f6f8af0&0&1",jo-2009-11-24.E01
system,"2009-11-23 21:54:44 UTC","Alcor Micro Corp.","Flash Drive",51491E64,jo-2009-11-24.E01
system,"2009-11-20 17:55:41 UTC","Dell Computer Corp.","Model L100 Keyboard","5&2f6f8af0&0&1",jo-2009-11-24.E01
system,"2009-11-20 17:55:42 UTC","Dell Computer Corp.",Mouse,"5&2f6f8af0&0&2",jo-2009-11-24.E01
