"Source Name",URL,"Date Accessed",Path,"Program Name",Domain,"Data Source",Comment
downloads.sqlite,"http://www.python.org/ftp/python/2.6.4/python-2.6.4.msi","2009-11-23 18:20:12 UTC","C:/Documents and Settings/Jo/My Documents/Downloads/python-2.6.4.msi","FireFox Analyzer",python.org,jo-2009-11-24.E01,
downloads.sqlite,"http://www.easc.noaa.gov/Security/webfile/erso.doc.gov/briefings/STU.doc","2009-11-24 21:18:18 UTC","C:/Documents and Settings/Jo/My Documents/Downloads/STU.doc","FireFox Analyzer",noaa.gov,jo-2009-11-24.E01,
downloads.sqlite,"http://appldnld.apple.com.edgesuite.net/content.info.apple.com/QuickTime/061-7356.20091118.Puyt6/QuickTimeInstaller.exe","2009-11-24 22:08:36 UTC","C:/Documents and Settings/Jo/My Documents/Downloads/QuickTimeInstaller.exe","FireFox Analyzer",edgesuite.net,jo-2009-11-24.E01,
"OOo_3.1.1_Win32Intel_install_wJRE_en-US.exe:Zone.Identifier",,,"/Documents and Settings/Administrator/My Documents/OOo_3.1.1_Win32Intel_install_wJRE_en-US.exe",,,jo-2009-11-24.E01,"Internet Zone"
"diit-1.5.jar:Zone.Identifier",,,"/Documents and Settings/Jo/Desktop/Pics/diit-1.5.jar",,,jo-2009-11-24.E01,"Restricted Sites Zone"
test.png:Zone.Identifier,,,"/Documents and Settings/Jo/Desktop/Pics/test.png",,,jo-2009-11-24.E01,"Restricted Sites Zone"
"Firefox%20Setup%203.5.5[1].exe:Zone.Identifier",,,"/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/3F02WNE3/Firefox%20Setup%203.5.5[1].exe",,,jo-2009-11-24.E01,"Internet Zone"
"R79733[1].EXE:Zone.Identifier",,,"/Documents and Settings/Administrator/Local Settings/Temporary Internet Files/Content.IE5/3F02WNE3/R79733[1].EXE",,,jo-2009-11-24.E01,"Internet Zone"
