"Source Name",Path,Key,"Last Write","Data Source","Date Modified","Date Created","Date Accessed"
NTUSER.DAT,urlstime_machine.txt,"Software\Microsoft\Windows\ShellNoRoam\Bags\10\Shell",,jo-2009-11-24.E01,"2009-11-16 13:22:50 UTC","2009-11-23 16:55:06 UTC","2009-11-23 16:55:06 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-24 19:25:13 UTC",jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-20 17:16:17 UTC",jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-20 19:05:06 UTC",jo-2009-11-24.E01,"2009-11-20 14:58:50 UTC","2009-11-20 04:45:26 UTC","2009-11-20 14:58:50 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-20 19:05:01 UTC",jo-2009-11-24.E01,"2009-11-20 14:59:56 UTC","2009-11-20 14:58:50 UTC","2009-11-20 14:59:56 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-20 19:05:01 UTC",jo-2009-11-24.E01,"2009-11-20 04:46:10 UTC","2009-11-20 14:58:52 UTC","2009-11-20 14:58:56 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-24 19:25:31 UTC",jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,"2009-11-23 13:24:40 UTC","2009-11-23 13:24:40 UTC","2009-11-23 13:24:40 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,"2009-11-24 17:03:50 UTC","2009-11-24 17:03:36 UTC","2009-11-24 17:04:56 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU","2009-11-24 17:09:50 UTC",jo-2009-11-24.E01,"2009-11-24 17:03:36 UTC","2009-11-24 17:03:28 UTC","2009-11-24 17:04:56 UTC"
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,,,
NTUSER.DAT,,"Software\Microsoft\Windows\ShellNoRoam\BagMRU",,jo-2009-11-24.E01,"2009-11-23 16:54:56 UTC","2009-11-23 16:54:56 UTC","2009-11-23 16:54:56 UTC"
